name,value,description
q3_short_stay_pct,8.5,"Post-admission condition share, episodes under 6 days"
q3_long_stay_pct,39.1,"Post-admission condition share, episodes 6 days or longer"
planned_returns_n,972,Planned 30-day returns
planned_returns_chemo_n,224,Planned returns carrying a chemotherapy code
planned_returns_chemo_pct,23.0,Chemotherapy share of planned returns
abstracts_merged,20323,Abstracts absorbed into earlier episodes
q4_peak_quarter_pct,12.8,Highest quarterly mortality
q4_peak_quarter,7,Quarter with the highest mortality
q4_linearity_p,0.0623,"p-value, linear trend vs free per-quarter effect"
threshold15_false_alarm_pct,77.0,"Share of flagged episodes that were not followed by readmission, 0.15 threshold"
risk_group_spread_multiple,9.0,"Highest risk tenth over lowest, observed"
historical_v1_readmit_pct,17.4,"Version 1 headline, superseded (over-counted transfers)"
historical_v3_readmit_pct,15.3,"Version 3 headline, superseded (missed interleaved episodes)"
historical_v6_transfer_spread_pts,0.03,"Version 6's reported spread across transfer rules, on the raw rate"
rule_q1_rr_min,2.44,"Q1 risk ratio, lowest across plausible transfer rules"
rule_q1_rr_max,2.52,"Q1 risk ratio, highest across plausible transfer rules"
rule_q2_rr_min,5.41,"Q2 risk ratio, lowest across plausible transfer rules"
rule_q2_rr_max,6.55,"Q2 risk ratio, highest across plausible transfer rules"
rule_q2_rr_spread,1.14,Q2 risk ratio spread across transfer rules
rule_q1_rr_spread,0.08,Q1 risk ratio spread across transfer rules
rule_q2_rr_uncapped,6.55,Q2 risk ratio under the uncapped interval-aware rule
rule_q2_rr_capped,6.55,Q2 risk ratio under the capped interval-aware rule
rule_q2_rr_spread_excl_uncapped,1.14,Q2 risk ratio spread excluding the uncapped interval-aware rule
interval_overlap_transitions_fixed,699,Transitions the interval rule merged in error before the overlap condition was restored (matches the count version 6 fixed on the derived-day rule)
